student_id,course_id,week_no,total_minutes,year_no
258822,7,2,100.37,2022
258822,16,4,4.93,2022
258822,16,5,1.98,2022
258822,21,2,66.27,2022
258822,21,3,109.33,2022
258822,21,4,48.64,2022
258822,21,5,0.87,2022
258824,7,0,1.32,2022
258826,27,0,0.27,2022
258827,34,0,0.3,2022
258828,7,0,0.22,2022
258828,45,0,0.18,2022
258829,16,0,12.52,2022
258830,7,0,0.93,2022
258831,23,0,0.08,2022
258832,13,12,46.28,2022
258832,21,0,0.67,2022
258832,21,1,69.88,2022
258832,23,9,70.43,2022
258832,23,10,74.62,2022
258832,23,11,36.2,2022
258832,39,0,0.22,2022
258832,39,9,0.4,2022
258833,7,0,1.28,2022
258834,7,0,21.85,2022
258837,15,0,30.52,2022
258837,15,1,4.22,2022
258837,15,4,0.98,2022
258840,7,0,1.2,2022
258840,7,1,40.92,2022
258841,45,0,0.57,2022
258845,3,4,63.72,2022
258845,3,5,36.95,2022
258845,3,6,42.08,2022
258845,3,33,392.63,2022
258845,4,5,32.3,2022
258845,5,7,31.4,2022
258845,5,33,198.18,2022
258845,7,0,1.2,2022
258845,7,1,62.89,2022
258845,7,32,29.88,2022
258845,7,33,48.25,2022
258845,11,9,19.47,2022
258845,11,16,11.82,2022
258845,11,31,36.43,2022
258845,11,33,81.15,2022
258845,14,2,43.95,2022
258845,14,3,45.38,2022
258845,14,33,22.02,2022
258845,21,2,15.85,2022
258845,21,32,73.77,2022
258845,21,33,61.27,2022
258845,23,2,16.8,2022
258845,23,32,1.98,2022
258845,23,33,62.56,2022
258845,35,3,32.07,2022
258845,35,33,92.05,2022
258846,25,0,6.88,2022
258848,32,0,0.05,2022
258849,7,0,12.03,2022
258851,7,0,6.58,2022
258852,7,0,0.07,2022
258855,7,0,0.15,2022
258857,21,0,0.33,2022
258857,24,0,0.42,2022
258860,7,0,12.18,2022
258861,20,0,14.12,2022
258861,20,1,2.37,2022
258861,35,0,4.47,2022
258861,35,1,0.58,2022
258862,7,0,96.15,2022
258862,21,0,11.93,2022
258862,21,1,51.35,2022
258862,21,2,63.87,2022
258862,21,3,43.26,2022
258862,21,34,152.11,2022
258862,24,32,21.68,2022
258862,24,34,29.52,2022
258862,24,35,10.78,2022
258862,24,36,158.75,2022
258863,2,1,43.72,2022
258863,3,0,5.52,2022
258863,13,1,20.33,2022
258863,14,1,34.42,2022
258863,23,0,80.42,2022
258863,23,1,21.9,2022
258863,23,3,52.18,2022
258863,25,1,36.42,2022
258863,28,1,83.42,2022
258863,39,1,37.4,2022
258865,7,0,100.16,2022
258865,7,1,82.73,2022
258865,7,2,48.55,2022
258865,13,1,2.05,2022
258865,21,2,21.92,2022
258865,21,3,29.92,2022
258865,21,5,21.88,2022
258865,21,6,3.33,2022
258865,21,12,0.07,2022
258865,49,5,3.82,2022
258865,49,38,3.95,2022
258869,21,0,0.58,2022
258869,32,0,0.62,2022
258870,7,1,3.62,2022
258870,11,4,0.5,2022
258870,20,0,0.58,2022
258871,42,0,2.22,2022
258872,7,1,63.82,2022
258876,7,0,27.76,2022
258876,7,1,27.42,2022
258876,7,2,18.34,2022
258878,7,0,110.03,2022
258878,21,1,23.73,2022
258879,7,4,1.18,2022
258880,7,1,16.75,2022
258880,21,1,22.53,2022
258880,32,1,12.68,2022
258880,39,1,5.9,2022
258880,42,1,15.3,2022
258881,35,0,1.85,2022
258882,14,0,0.5,2022
258883,7,1,25.57,2022
258883,42,11,4.43,2022
258884,42,0,0.25,2022
258885,7,0,40.97,2022
258885,7,1,20.7,2022
258887,28,1,0.07,2022
258888,23,0,0.67,2022
258890,7,0,1.2,2022
258892,24,0,1.97,2022
258892,36,5,0.6,2022
258892,37,5,0.53,2022
258892,49,5,4.28,2022
258892,52,14,3.78,2022
258893,2,0,0.65,2022
258893,7,0,24.6,2022
258894,21,0,61.97,2022
258895,7,0,11.2,2022
258897,7,17,0.05,2022
258897,16,17,0.05,2022
258902,7,0,18.85,2022
258903,7,0,1.2,2022
258903,21,0,8.08,2022
258904,2,0,13.08,2022
258904,2,1,36.33,2022
258904,3,1,17.97,2022
258904,3,2,47.55,2022
258904,28,1,46.23,2022
258904,29,0,57.8,2022
258905,7,1,3.58,2022
258906,7,0,2.72,2022
258906,7,1,92.2,2022
258906,7,2,80.15,2022
258906,7,3,2.27,2022
258906,13,6,6.67,2022
258906,23,2,12.28,2022
258906,23,4,35.72,2022
258906,24,10,18.37,2022
258907,7,17,12.25,2022
258908,21,0,118.53,2022
258908,24,0,102.28,2022
258908,24,1,138.48,2022
258908,45,2,54.58,2022
258908,45,3,106.38,2022
258908,45,4,38.37,2022
258910,7,0,6.62,2022
258912,7,1,11.53,2022
258912,14,1,3.93,2022
258913,2,20,4.95,2022
258913,2,27,68.44,2022
258913,7,0,45.52,2022
258913,7,1,66.38,2022
258913,14,4,4.07,2022
258913,14,6,71.22,2022
258913,14,8,46.78,2022
258913,14,9,22.18,2022
258913,14,10,1.55,2022
258913,14,17,37.2,2022
258913,14,20,243.58,2022
258913,14,26,2.27,2022
258913,14,27,111.43,2022
258913,14,28,223.88,2022
258913,14,29,28.9,2022
258913,21,1,0.05,2022
258913,21,4,24.77,2022
258913,23,1,246.89,2022
258913,23,10,7.47,2022
258913,23,16,62.15,2022
258913,30,11,7.05,2022
258913,35,8,0.17,2022
258913,35,10,5.82,2022
258913,46,14,89.68,2022
258913,46,15,40.45,2022
258914,7,0,2.78,2022
258915,7,1,6.57,2022
258915,7,25,3.33,2022
258915,7,30,30.73,2022
258916,5,43,90.68,2022
258916,7,15,62.45,2022
258916,14,42,10.58,2022
258916,14,43,40.52,2022
258916,15,37,66.62,2022
258916,16,43,0.27,2022
258916,20,42,6.85,2022
258916,27,36,4.88,2022
258916,27,37,0.05,2022
258916,33,35,90.3,2022
258916,35,42,48.63,2022
258916,36,35,6.18,2022
258916,36,37,77.8,2022
258916,42,15,31.75,2022
258916,45,42,0.13,2022
258916,67,42,0.15,2022
258917,7,0,6.55,2022
258920,14,0,65.33,2022
258922,7,0,19.37,2022
258922,7,1,97.17,2022
258922,7,7,5.35,2022
258922,14,27,2.42,2022
258922,14,29,3.15,2022
258922,16,3,5.48,2022
258922,21,1,2.03,2022
258922,21,6,1.38,2022
258922,21,7,6,2022
258922,21,26,7.87,2022
258922,21,37,9.02,2022
258922,22,29,4.58,2022
258922,23,1,33.06,2022
258922,24,29,7.02,2022
258922,24,37,0.15,2022
258922,26,29,6.42,2022
258922,28,30,1.2,2022
258922,32,1,3.9,2022
258922,46,2,3.5,2022
258922,55,29,1.6,2022
258924,3,3,0.07,2022
258924,3,5,64.43,2022
258924,5,3,0.05,2022
258924,5,5,32.65,2022
258924,7,1,35.55,2022
258924,7,10,0.6,2022
258924,11,3,0.1,2022
258924,11,5,12.75,2022
258924,13,5,11.23,2022
258924,14,3,66.1,2022
258924,21,3,2.05,2022
258924,23,3,28.47,2022
258924,29,5,8.28,2022
258924,33,5,10.9,2022
258924,34,3,0.13,2022
258924,34,5,4.95,2022
258924,35,3,28.57,2022
258924,39,5,0.05,2022
258924,42,5,16.25,2022
258924,46,5,34.6,2022
258924,48,5,5.5,2022
258925,23,0,6.73,2022
258927,45,0,5.05,2022
258927,45,31,0.62,2022
258929,7,9,43.82,2022
258930,7,7,43.92,2022
258930,7,8,69.77,2022
258930,7,29,22.47,2022
258930,21,9,5.32,2022
258930,21,10,4.13,2022
258930,21,29,8.42,2022
258930,21,31,19.45,2022
258930,21,34,16.93,2022
258933,7,1,1.5,2022
258933,7,3,4.28,2022
258936,7,0,1.8,2022
258936,13,0,4.05,2022
258936,20,0,0.4,2022
258936,21,0,9.83,2022
258936,25,2,4.37,2022
258936,42,0,5,2022
258939,7,0,0.53,2022
258939,46,0,10.28,2022
258940,2,0,2.12,2022
258940,41,0,1.4,2022
258940,42,25,7.58,2022
258947,7,0,0.05,2022
258951,7,0,13.08,2022
258951,7,1,0.08,2022
258951,23,4,41.95,2022
258951,42,12,27.62,2022
258951,42,13,7.93,2022
258954,7,0,1.2,2022
258954,42,0,2.22,2022
258955,7,0,51.55,2022
258955,7,1,124.85,2022
258955,23,1,50.35,2022
258955,23,2,116.55,2022
258955,23,3,22.81,2022
258955,23,23,93.9,2022
258956,7,17,44.73,2022
258956,7,18,83.17,2022
258956,14,27,95.73,2022
258956,14,28,243.82,2022
258956,14,29,36.37,2022
258956,14,31,0.05,2022
258956,21,18,0.7,2022
258956,21,19,49.5,2022
258956,23,13,14.78,2022
258956,23,15,24.4,2022
258956,23,16,123.47,2022
258957,7,1,2.87,2022
258957,45,1,0.77,2022
258959,42,0,0.13,2022
258960,21,0,3.37,2022
258962,23,0,0.12,2022
258965,23,0,1.45,2022
258967,7,0,2.58,2022
258967,23,0,0.22,2022
258969,34,0,5.18,2022
258970,21,1,16.55,2022
258970,39,1,17.32,2022
258971,7,0,58.35,2022
258971,7,1,16.75,2022
258971,7,2,31.59,2022
258971,14,4,0.35,2022
258971,14,6,7.72,2022
258971,14,7,11.65,2022
258971,14,8,3.22,2022
258971,14,24,0.3,2022
258971,16,0,0.12,2022
258971,16,2,1.75,2022
258971,16,4,3.98,2022
258971,20,5,33.53,2022
258971,21,0,2.52,2022
258971,21,2,121.2,2022
258971,21,3,10.5,2022
258971,22,5,31.96,2022
258971,24,2,0.45,2022
258971,26,4,0.07,2022
258973,3,0,16.75,2022
258973,4,0,2.43,2022
258973,7,0,0.3,2022
258973,23,0,0.8,2022
258974,28,0,20.87,2022
258979,27,0,0.18,2022
258979,28,1,1.32,2022
258980,7,0,0.13,2022
258980,7,1,51.05,2022
258980,7,2,56.82,2022
258980,23,38,0.33,2022
258980,42,38,7.74,2022
258980,46,2,115.75,2022
258980,46,6,106.78,2022
258982,7,0,0.08,2022
258984,7,0,19.82,2022
258984,7,1,98.92,2022
258984,20,13,29.37,2022
258984,20,14,11.87,2022
258984,21,27,28.28,2022
258984,23,1,48.32,2022
258984,23,2,80.83,2022
258984,30,21,6.52,2022
258984,30,25,11.93,2022
258984,30,26,17.6,2022
258984,35,14,14.1,2022
258984,35,15,11.17,2022
258984,35,22,55.92,2022
258987,37,1,0.3,2022
258989,45,0,0.27,2022
258991,7,0,5.6,2022
258993,42,0,0.22,2022
258993,45,0,0.1,2022
258994,4,0,65.1,2022
258994,4,1,16,2022
258994,4,2,14,2022
258996,7,1,23.67,2022
258996,7,2,15.52,2022
258997,7,0,6.5,2022
258997,23,0,1.88,2022
258997,23,43,2.08,2022
258998,20,0,0.25,2022
258999,23,0,0.48,2022
259000,7,0,48.17,2022
259000,7,1,7.67,2022
259000,7,2,1.4,2022
259001,33,0,5.45,2022
259001,33,1,2.42,2022
259002,14,0,13.33,2022
259002,14,1,38.94,2022
259005,2,7,0.13,2022
259005,2,8,0.53,2022
259005,20,28,0.05,2022
259005,21,0,0.13,2022
259005,21,7,0.45,2022
259005,27,8,0.33,2022
259005,42,0,0.37,2022
259005,55,28,0.58,2022
259008,7,0,1.08,2022
259011,3,16,4.17,2022
259011,4,16,4.97,2022
259011,5,16,5.74,2022
259011,7,0,53.57,2022
259011,7,1,23.23,2022
259011,14,8,98.62,2022
259011,14,9,14.08,2022
259011,14,10,13.08,2022
259011,14,11,27.08,2022
259011,14,12,20.23,2022
259011,14,13,54.86,2022
259011,14,14,141.82,2022
259011,14,15,254.28,2022
259011,14,16,27.69,2022
259011,14,19,1.13,2022
259011,16,2,276.13,2022
259011,16,3,290.31,2022
259011,16,4,28.97,2022
259011,16,5,104.4,2022
259011,16,6,22.13,2022
259011,21,9,26.27,2022
259011,23,1,27.98,2022
259011,23,2,4.98,2022
259011,23,9,122.68,2022
259011,23,10,76.5,2022
259011,23,11,62.88,2022
259011,35,16,149.1,2022
259012,7,1,6.05,2022
259012,23,1,55.68,2022
259014,25,0,2.35,2022
259015,32,0,7.77,2022
259015,32,1,53.95,2022
259015,32,2,13.05,2022
259015,32,3,7.85,2022
259015,37,1,59.58,2022
259015,44,0,7.1,2022
259017,41,0,1.1,2022
259018,7,1,0.67,2022
259020,7,0,5.82,2022
259022,7,0,1.2,2022
259024,22,1,3.15,2022
259024,37,0,9.03,2022
259024,37,1,14.83,2022
259025,22,0,2.28,2022
259026,7,0,28.58,2022
259026,7,1,65.28,2022
259026,7,2,13.45,2022
259026,16,14,34.53,2022
259026,16,15,123.54,2022
259026,16,16,57.57,2022
259026,16,17,60.12,2022
259026,16,18,16.38,2022
259026,21,2,7.35,2022
259026,21,3,45.27,2022
259026,21,4,19.13,2022
259026,21,10,82.01,2022
259026,21,11,23.02,2022
259026,28,13,9.92,2022
259028,21,0,1.7,2022
259028,21,1,117.95,2022
259028,21,3,20.52,2022
259028,21,4,38.5,2022
259029,7,1,10.42,2022
259032,41,2,30.65,2022
259033,21,0,3.3,2022
259034,35,1,0.15,2022
259034,35,2,33.95,2022
259035,7,0,0.7,2022
259035,16,0,0.23,2022
259035,23,0,0.15,2022
259036,53,26,6.47,2022
259039,21,1,3.62,2022
259039,21,2,96.47,2022
259039,21,3,67.25,2022
259039,21,4,6.67,2022
259039,42,0,72.03,2022
259039,42,1,156.11,2022
259040,23,0,0.13,2022
259041,2,0,0.18,2022
259042,21,33,194.55,2022
259043,7,0,0.8,2022
259043,7,1,10.2,2022
259045,16,4,1.3,2022
259045,21,4,0.92,2022
259046,23,8,141.17,2022
259047,7,0,1.73,2022
259047,7,1,25.45,2022
259048,7,0,0.63,2022
259051,7,0,0.42,2022
259054,5,5,0.08,2022
259054,5,16,44.34,2022
259054,5,17,16.05,2022
259054,21,5,8.92,2022
259055,13,1,1.98,2022
259056,21,1,0.47,2022
259057,7,1,8.37,2022
259058,23,1,0.48,2022
259058,42,1,0.73,2022
259059,26,1,3.87,2022
259059,45,1,0.43,2022
259060,7,1,30.17,2022
259062,7,1,9.52,2022
259063,15,1,4.72,2022
259065,15,1,0.37,2022
259067,7,1,59.77,2022
259068,27,1,5.68,2022
259068,35,1,40.85,2022
259069,7,1,1.03,2022
259070,14,6,88.61,2022
259070,14,7,10.83,2022
259070,14,8,53.27,2022
259070,14,9,42.23,2022
259070,14,10,168.7,2022
259070,14,11,8.77,2022
259070,14,13,28.66,2022
259070,23,7,6.65,2022
259070,23,8,1.18,2022
259070,42,2,53.81,2022
259070,42,3,168.55,2022
259070,42,4,63.05,2022
259070,42,25,0.27,2022
259070,45,4,11.37,2022
259070,45,6,9,2022
259071,7,1,53.58,2022
259072,7,1,0.72,2022
259072,13,1,1.03,2022
259077,3,1,3.52,2022
259077,5,1,3.23,2022
259077,16,1,3.45,2022
259078,7,1,0.85,2022
259079,35,1,0.23,2022
259080,7,1,51.82,2022
259080,23,5,5.53,2022
259080,39,1,93.98,2022
259080,39,5,4.92,2022
259084,7,1,1.12,2022
259084,42,4,15.87,2022
259085,16,1,0.1,2022
259085,24,1,0.8,2022
259086,7,1,4.37,2022
259086,16,1,0.93,2022
259087,23,1,1.33,2022
259088,7,1,18.18,2022
259088,23,1,68.22,2022
259090,7,1,2.07,2022
259090,21,1,7.88,2022
259093,13,1,3.03,2022
259093,23,1,96.08,2022
259095,7,3,0.07,2022
259097,7,1,12.2,2022
259098,7,1,0.27,2022
259098,7,21,19.77,2022
259099,7,1,1.1,2022
259101,37,5,0.07,2022
259101,42,1,1.58,2022
259101,42,5,0.18,2022
259102,21,1,0.22,2022
259103,42,1,13.68,2022
259104,23,1,0.72,2022
259105,14,1,0.15,2022
259105,20,3,9.52,2022
259105,21,2,1.08,2022
259105,21,3,22.65,2022
259105,37,3,4.92,2022
259105,37,4,89.55,2022
259106,7,1,200.08,2022
259106,7,12,32.23,2022
259106,7,13,124.07,2022
259106,13,11,23.55,2022
259106,13,12,99.48,2022
259106,21,13,12.15,2022
259106,21,14,107.98,2022
259106,21,15,4.62,2022
259106,23,1,0.05,2022
259106,23,4,35.83,2022
259106,23,5,155.26,2022
259106,23,6,146.79,2022
259106,23,7,81.48,2022
259106,23,8,231.01,2022
259106,23,9,251.19,2022
259106,23,10,164.16,2022
259106,23,11,67.42,2022
259106,23,14,1.02,2022
259106,23,21,29.42,2022
259106,39,14,71.57,2022
259106,39,15,106.8,2022
259106,42,1,227.77,2022
259106,42,2,281.91,2022
259106,46,2,2.28,2022
259106,46,3,255.06,2022
259106,46,4,148.55,2022
259108,21,4,12.78,2022
259108,23,1,3.25,2022
259108,23,4,9.9,2022
259108,23,8,2.05,2022
259110,4,1,17.43,2022
259110,23,1,51.17,2022
259113,7,1,0.42,2022
259114,3,1,1.95,2022
259115,7,1,0.7,2022
259116,7,1,37.9,2022
259118,7,1,44.65,2022
259118,23,1,0.8,2022
259118,23,2,52.59,2022
259121,7,1,60,2022
259123,14,1,41.57,2022
259123,35,15,24.35,2022
259125,7,1,5.63,2022
259126,23,1,3.47,2022
259126,45,1,1.45,2022
259127,35,1,2.07,2022
259133,22,1,2.38,2022
259134,7,1,13.58,2022
259137,42,1,3.93,2022
259137,46,1,2.1,2022
259138,16,1,12.63,2022
259143,2,1,0.05,2022
259143,20,1,14.02,2022
259143,22,1,10.12,2022
259144,7,1,0.22,2022
259144,23,1,2.8,2022
259145,7,1,0.32,2022
259146,21,1,3.33,2022
259148,7,2,0.05,2022
259149,7,1,38.15,2022
259150,28,1,0.2,2022
259152,7,1,10.7,2022
259155,21,1,120.12,2022
259155,25,1,83.6,2022
259155,37,1,85.32,2022
259155,37,2,75.95,2022
259155,46,1,12.8,2022
259156,23,1,2.42,2022
259158,23,1,0.52,2022
259160,7,36,0.95,2022
259164,23,1,0.67,2022
259165,35,1,0.22,2022
259167,7,1,10.5,2022
259170,7,1,1.2,2022
259171,7,1,66.82,2022
259171,7,4,66.68,2022
259171,23,1,28.1,2022
259171,23,4,31.93,2022
259171,23,5,123.26,2022
259171,23,6,0.93,2022
259172,21,1,7.37,2022
259174,2,32,54.1,2022
259174,2,33,88.3,2022
259174,3,30,155.59,2022
259174,3,31,381.68,2022
259174,3,32,279.54,2022
259174,7,1,215.09,2022
259174,7,29,197.74,2022
259174,11,32,0.65,2022
259174,13,32,72.45,2022
259174,14,6,109.23,2022
259174,14,7,268.65,2022
259174,14,9,0.57,2022
259174,14,10,38.01,2022
259174,14,11,289.62,2022
259174,14,12,352.18,2022
259174,14,13,198.39,2022
259174,14,14,207.19,2022
259174,14,15,17.85,2022
259174,14,41,0.63,2022
259174,20,30,43.52,2022
259174,21,4,322.69,2022
259174,21,5,353.03,2022
259174,21,6,158.95,2022
259174,23,1,76.55,2022
259174,23,2,43.02,2022
259174,23,3,297.66,2022
259174,23,4,38.13,2022
259174,23,29,210.02,2022
259174,23,30,135.86,2022
259174,35,3,203.48,2022
259174,35,30,208.86,2022
259174,42,1,2.22,2022
259178,7,1,6.62,2022
259178,7,23,37.8,2022
259180,7,1,3.25,2022
259180,12,1,0.58,2022
259180,16,1,1.48,2022
259180,22,1,1.6,2022
259180,22,3,0.12,2022
259180,27,1,4.42,2022
259180,27,3,3.88,2022
259180,29,1,3.58,2022
259180,32,1,0.07,2022
259180,33,1,6.65,2022
259180,36,1,3.92,2022
259180,36,3,3.87,2022
259180,37,1,1.48,2022
259180,41,1,5.05,2022
259180,42,1,1.85,2022
259180,43,1,1.98,2022
259180,45,2,0.8,2022
259180,46,1,4.8,2022
259180,48,1,0.68,2022
259181,7,1,0.13,2022
259183,7,1,1.97,2022
259183,7,6,16.28,2022
259184,7,1,0.05,2022
259187,7,1,9.51,2022
259188,21,1,4.27,2022
259190,7,1,1.2,2022
259190,7,29,11.4,2022
259191,7,1,0.98,2022
259192,34,1,0.42,2022
259195,7,1,32.2,2022
259196,7,1,3.23,2022
259198,3,5,26.47,2022
259198,7,1,4.32,2022
259198,7,8,0.77,2022
259198,21,1,7.8,2022
259198,21,3,13.1,2022
259199,14,1,19.4,2022
259201,7,3,1.95,2022
259203,7,1,15.67,2022
259204,7,1,0.3,2022
259205,7,1,9.8,2022
259207,7,1,0.77,2022
259207,7,4,0.18,2022
259209,7,1,4.48,2022
259209,7,39,3.5,2022
259209,14,1,65.45,2022
259209,16,1,48.82,2022
259209,16,39,0.15,2022
259209,23,1,114.38,2022
259209,23,39,8.42,2022
259210,7,1,43.53,2022
259211,7,1,43.38,2022
259211,37,1,1.48,2022
259213,7,1,1.38,2022
259214,42,1,0.2,2022
259217,7,1,8.17,2022
259222,42,1,0.05,2022
259223,7,1,0.72,2022
259225,7,1,0.62,2022
259226,7,1,0.27,2022
259226,7,29,0.93,2022
259226,54,29,5.05,2022
259229,7,26,0.4,2022
259229,13,1,0.65,2022
259229,28,36,0.35,2022
259229,35,1,1.32,2022
259231,7,1,0.12,2022
259232,23,3,34.72,2022
259233,7,1,52.88,2022
259233,13,1,15.87,2022
259239,7,1,51.35,2022
259240,7,1,2.5,2022
259242,7,1,0.05,2022
259242,14,1,9.18,2022
259244,14,1,39.7,2022
259244,15,1,12.1,2022
259244,34,1,23.9,2022
259244,35,1,34.25,2022
259246,4,1,4.42,2022
259246,35,1,26.5,2022
259247,23,1,75.1,2022
259250,7,2,6.53,2022
259254,14,33,0.05,2022
259254,21,33,7,2022
259254,25,33,7.58,2022
259254,45,1,0.42,2022
259254,52,33,28.34,2022
259258,7,1,72.15,2022
259258,11,2,26.15,2022
259258,11,3,3.42,2022
259258,12,38,0.05,2022
259258,14,1,3.83,2022
259258,14,3,45.67,2022
259258,14,10,15.59,2022
259258,14,11,162.09,2022
259258,14,12,11.67,2022
259258,14,18,56,2022
259258,14,30,50.07,2022
259258,14,31,21.32,2022
259258,14,32,18.1,2022
259258,14,33,37.7,2022
259258,14,40,0.08,2022
259258,16,2,64.63,2022
259258,19,11,9.67,2022
259258,19,13,0.43,2022
259258,20,2,34.48,2022
259258,21,1,103.29,2022
259258,21,2,78.56,2022
259258,22,3,44.32,2022
259258,24,2,20.4,2022
259258,24,10,1.43,2022
259258,25,10,15.87,2022
259258,26,13,44.97,2022
259258,29,30,15.13,2022
259258,30,4,31.43,2022
259258,32,3,13.83,2022
259258,32,14,32.72,2022
259258,34,3,4.42,2022
259258,37,2,99.75,2022
259258,37,3,70.75,2022
259258,37,4,67.4,2022
259258,37,10,117.66,2022
259258,43,11,0.3,2022
259258,45,11,4.83,2022
259260,7,1,0.05,2022
259260,7,36,3.97,2022
259260,7,37,0.2,2022
259260,21,1,65.4,2022
259260,21,36,25.5,2022
259261,7,1,4.58,2022
259261,21,2,12.02,2022
259262,7,3,21.49,2022
259262,13,2,13.25,2022
259262,14,6,34.22,2022
259262,14,7,148.18,2022
259262,14,8,101.3,2022
259262,14,11,2.73,2022
259262,14,20,68.17,2022
259262,14,21,47.13,2022
259262,14,22,23.55,2022
259262,14,24,0.05,2022
259262,14,25,53.83,2022
259262,14,26,65.05,2022
259262,14,27,36.2,2022
259262,15,3,0.43,2022
259262,15,5,2.5,2022
259262,16,3,0.63,2022
259262,19,3,0.56,2022
259262,19,4,0.68,2022
259262,20,3,15.25,2022
259262,20,4,0.83,2022
259262,22,17,9.3,2022
259262,23,6,15.12,2022
259262,23,23,2.22,2022
259262,24,7,0.33,2022
259262,26,6,1.9,2022
259262,26,7,10.2,2022
259262,26,11,54.01,2022
259262,27,14,5.12,2022
259262,27,17,0.15,2022
259262,27,25,0.15,2022
259262,33,3,10.4,2022
259262,33,4,83.7,2022
259262,33,8,12.27,2022
259262,35,9,5.57,2022
259262,35,10,49.65,2022
259262,39,5,0.3,2022
259262,45,8,9.07,2022
259262,45,9,48.57,2022
259262,45,10,32.43,2022
259262,45,11,6.33,2022
259264,7,1,64.51,2022
259266,7,1,2.5,2022
259266,23,1,8.27,2022
259267,21,1,11.48,2022
259268,7,1,110.55,2022
259268,14,2,13.95,2022
259268,14,3,426.92,2022
259268,14,4,31.8,2022
259268,23,1,96.55,2022
259268,23,2,72.13,2022
259268,28,4,6.52,2022
259268,28,5,92.42,2022
259268,42,1,291.8,2022
259268,46,1,250.92,2022
259269,35,1,24.11,2022
259271,16,2,2.93,2022
259271,21,1,10.22,2022
259273,16,1,4.53,2022
259273,21,1,23.1,2022
259274,16,1,0.6,2022
259275,7,1,0.48,2022
259276,23,1,19.22,2022
259278,7,1,2.02,2022
259278,14,5,4.63,2022
259278,23,1,8.95,2022
259278,33,1,4.83,2022
259278,45,1,0.17,2022
259278,45,5,0.2,2022
259278,48,5,1.62,2022
259283,7,2,7.65,2022
259283,7,3,14.6,2022
259283,7,5,1.31,2022
259283,7,27,18.58,2022
259283,14,1,19.27,2022
259283,14,13,53.45,2022
259283,14,14,74.62,2022
259283,14,15,43.31,2022
259283,14,16,17.15,2022
259283,14,17,93.69,2022
259283,14,18,9.53,2022
259283,14,19,33.89,2022
259283,14,20,24.96,2022
259283,14,21,7.3,2022
259283,14,22,0.22,2022
259283,14,23,33.22,2022
259283,14,24,7.78,2022
259283,14,26,50.78,2022
259283,14,27,51.21,2022
259283,16,2,6.15,2022
259283,16,5,16.25,2022
259283,16,6,197.92,2022
259283,16,7,26,2022
259283,16,8,55.35,2022
259283,16,9,3.03,2022
259283,16,10,5.95,2022
