course_id,student_id,exam_passed,exam_attempt,last_exam_attempt,course_title
23,260829,1,1,2022-01-24,"Introduction to Excel"
28,260062,1,1,2022-01-24,"Power BI"
42,260173,1,2,2022-01-24,"Data Strategy"
23,259174,1,2,2022-01-25,"Introduction to Excel"
7,259756,1,1,2022-01-24,"Introduction to Data and Data Science"
13,260829,1,1,2022-01-25,"Data Analysis with Excel Pivot Tables"
42,260754,1,2,2022-01-29,"Data Strategy"
23,260062,1,1,2022-01-25,"Introduction to Excel"
22,259283,1,3,2022-01-26,Mathematics
21,259504,1,2,2022-01-26,Statistics
21,261212,1,1,2022-01-26,Statistics
24,260593,1,2,2022-01-26,Probability
21,261268,1,2,2022-01-26,Statistics
7,261019,1,1,2022-01-26,"Introduction to Data and Data Science"
24,260649,1,1,2022-01-26,Probability
7,261374,1,1,2022-01-26,"Introduction to Data and Data Science"
24,259283,1,2,2022-02-02,Probability
7,261491,1,1,2022-01-26,"Introduction to Data and Data Science"
7,259171,1,1,2022-01-26,"Introduction to Data and Data Science"
24,260486,1,2,2022-01-26,Probability
21,261567,1,1,2022-01-27,Statistics
23,259996,1,3,2022-03-22,"Introduction to Excel"
7,261685,1,1,2022-01-27,"Introduction to Data and Data Science"
42,260578,0,1,2022-01-27,"Data Strategy"
7,259504,1,1,2022-01-27,"Introduction to Data and Data Science"
21,260998,1,2,2022-01-28,Statistics
24,260850,1,2,2022-01-31,Probability
46,259106,1,2,2022-01-28,"Data Literacy"
7,260831,1,2,2022-01-28,"Introduction to Data and Data Science"
7,261455,1,2,2022-01-29,"Introduction to Data and Data Science"
35,259524,1,1,2022-01-28,"Introduction to Python"
42,261777,1,1,2022-01-29,"Data Strategy"
46,260754,1,1,2022-01-29,"Data Literacy"
24,261268,1,2,2022-01-29,Probability
7,261721,1,2,2022-01-29,"Introduction to Data and Data Science"
7,261466,1,1,2022-01-29,"Introduction to Data and Data Science"
46,261777,1,1,2022-01-30,"Data Literacy"
7,261263,1,1,2022-01-30,"Introduction to Data and Data Science"
7,261184,1,1,2022-01-30,"Introduction to Data and Data Science"
35,261550,1,1,2022-01-30,"Introduction to Python"
7,261773,1,1,2022-01-30,"Introduction to Data and Data Science"
23,261263,1,2,2022-02-03,"Introduction to Excel"
16,260486,1,2,2022-01-31,"Python Programmer Bootcamp"
24,261567,1,2,2022-01-31,Probability
7,261979,1,1,2022-01-31,"Introduction to Data and Data Science"
7,261995,0,1,2022-01-31,"Introduction to Data and Data Science"
7,260968,1,1,2022-01-31,"Introduction to Data and Data Science"
24,261212,1,1,2022-02-01,Probability
22,260486,1,1,2022-02-01,Mathematics
22,260850,1,2,2022-02-01,Mathematics
23,259767,1,3,2022-02-04,"Introduction to Excel"
23,261359,1,2,2022-02-01,"Introduction to Excel"
7,261391,1,1,2022-02-01,"Introduction to Data and Data Science"
7,260345,1,1,2022-02-01,"Introduction to Data and Data Science"
21,261491,1,1,2022-02-01,Statistics
7,260971,1,1,2022-02-01,"Introduction to Data and Data Science"
46,260971,1,1,2022-02-01,"Data Literacy"
7,260829,0,1,2022-02-02,"Introduction to Data and Data Science"
13,261359,1,1,2022-02-02,"Data Analysis with Excel Pivot Tables"
23,260173,1,2,2022-02-04,"Introduction to Excel"
7,261905,1,2,2022-02-02,"Introduction to Data and Data Science"
42,261685,1,2,2022-02-14,"Data Strategy"
42,261785,1,2,2022-02-03,"Data Strategy"
23,261585,0,1,2022-02-03,"Introduction to Excel"
2,260998,1,2,2022-02-03,"Introduction to Tableau"
7,261819,1,1,2022-02-04,"Introduction to Data and Data Science"
46,261979,1,2,2022-02-04,"Data Literacy"
21,261777,1,1,2022-02-04,Statistics
14,260998,1,2,2022-02-05,SQL
30,260998,1,1,2022-02-05,"Git and GitHub"
7,262459,1,1,2022-02-05,"Introduction to Data and Data Science"
42,260980,1,1,2022-02-05,"Data Strategy"
23,261682,1,2,2022-02-05,"Introduction to Excel"
23,261905,1,3,2022-02-06,"Introduction to Excel"
42,259549,1,2,2022-02-06,"Data Strategy"
7,262826,1,1,2022-02-06,"Introduction to Data and Data Science"
20,261550,1,1,2022-02-06,"Introduction to Jupyter"
20,258971,1,1,2022-02-06,"Introduction to Jupyter"
7,261737,1,2,2022-02-06,"Introduction to Data and Data Science"
21,260754,1,2,2022-02-08,Statistics
21,260477,1,2,2022-02-08,Statistics
30,262675,1,1,2022-02-07,"Git and GitHub"
46,261785,1,2,2022-02-07,"Data Literacy"
16,261567,1,2,2022-02-07,"Python Programmer Bootcamp"
7,262643,1,1,2022-02-07,"Introduction to Data and Data Science"
22,261567,1,2,2022-02-07,Mathematics
35,262596,1,1,2022-02-07,"Introduction to Python"
16,259938,1,2,2022-02-08,"Python Programmer Bootcamp"
46,258980,1,2,2022-02-24,"Data Literacy"
7,262817,1,2,2022-02-10,"Introduction to Data and Data Science"
20,261263,1,1,2022-02-08,"Introduction to Jupyter"
7,261593,1,1,2022-02-08,"Introduction to Data and Data Science"
21,259174,1,2,2022-02-09,Statistics
14,261263,1,1,2022-02-09,SQL
35,259494,1,1,2022-02-09,"Introduction to Python"
7,261782,1,1,2022-02-09,"Introduction to Data and Data Science"
24,261491,1,1,2022-02-09,Probability
39,262641,1,1,2022-02-09,"Advanced Microsoft Excel"
22,261263,1,2,2022-02-11,Mathematics
32,259865,0,1,2022-02-10,"Deep Learning with TensorFlow 2"
11,262596,1,1,2022-02-10,"Data Cleaning and Preprocessing with pandas"
7,261121,1,1,2022-02-10,"Introduction to Data and Data Science"
16,260649,1,1,2022-02-10,"Python Programmer Bootcamp"
2,263120,1,1,2022-02-10,"Introduction to Tableau"
46,261802,1,1,2022-02-10,"Data Literacy"
42,261802,1,2,2022-02-10,"Data Strategy"
7,261802,1,1,2022-02-10,"Introduction to Data and Data Science"
7,262224,1,1,2022-02-10,"Introduction to Data and Data Science"
21,261750,0,1,2022-02-10,Statistics
23,260345,1,1,2022-02-10,"Introduction to Excel"
24,260754,0,3,2022-02-19,Probability
20,262675,1,1,2022-02-10,"Introduction to Jupyter"
7,263216,1,1,2022-02-10,"Introduction to Data and Data Science"
16,260593,1,1,2022-02-11,"Python Programmer Bootcamp"
46,261773,1,2,2022-02-11,"Data Literacy"
13,262817,1,1,2022-02-11,"Data Analysis with Excel Pivot Tables"
46,262643,1,1,2022-02-11,"Data Literacy"
23,261828,1,1,2022-02-11,"Introduction to Excel"
7,260980,1,1,2022-02-11,"Introduction to Data and Data Science"
11,262973,0,1,2022-02-11,"Data Cleaning and Preprocessing with pandas"
23,259524,0,1,2022-02-11,"Introduction to Excel"
4,261171,1,2,2022-02-12,"Introduction to R Programming"
21,261171,1,3,2022-02-14,Statistics
7,263300,1,1,2022-02-12,"Introduction to Data and Data Science"
42,262792,1,1,2022-02-12,"Data Strategy"
22,260593,1,2,2022-02-13,Mathematics
7,259684,1,1,2022-02-12,"Introduction to Data and Data Science"
42,261391,1,2,2022-02-13,"Data Strategy"
23,261802,1,2,2022-02-13,"Introduction to Excel"
46,259860,1,2,2022-02-13,"Data Literacy"
7,263368,1,1,2022-02-14,"Introduction to Data and Data Science"
4,261359,1,1,2022-02-14,"Introduction to R Programming"
13,261802,1,1,2022-02-14,"Data Analysis with Excel Pivot Tables"
22,260649,1,1,2022-02-14,Mathematics
46,261685,1,2,2022-02-14,"Data Literacy"
21,260465,1,1,2022-02-14,Statistics
22,261171,1,3,2022-02-15,Mathematics
24,261777,1,1,2022-02-14,Probability
7,263076,1,1,2022-02-14,"Introduction to Data and Data Science"
21,261682,1,1,2022-02-14,Statistics
21,260173,1,2,2022-02-16,Statistics
30,261519,1,1,2022-02-15,"Git and GitHub"
39,261802,1,2,2022-02-15,"Advanced Microsoft Excel"
7,260774,1,1,2022-02-15,"Introduction to Data and Data Science"
21,261466,1,4,2022-04-16,Statistics
46,260345,1,1,2022-02-15,"Data Literacy"
42,261550,1,2,2022-02-18,"Data Strategy"
21,261905,1,2,2022-02-16,Statistics
14,260486,1,2,2022-02-15,SQL
7,262457,0,1,2022-02-16,"Introduction to Data and Data Science"
21,263531,1,1,2022-02-16,Statistics
23,263480,1,2,2022-02-17,"Introduction to Excel"
46,262792,1,1,2022-02-17,"Data Literacy"
21,260916,1,2,2022-02-18,Statistics
42,260345,1,1,2022-02-17,"Data Strategy"
20,263480,1,2,2022-02-17,"Introduction to Jupyter"
7,263690,1,1,2022-02-17,"Introduction to Data and Data Science"
7,263759,1,1,2022-02-17,"Introduction to Data and Data Science"
13,260345,1,1,2022-02-17,"Data Analysis with Excel Pivot Tables"
35,260998,1,2,2022-02-17,"Introduction to Python"
21,261802,1,1,2022-02-18,Statistics
7,262819,1,1,2022-02-18,"Introduction to Data and Data Science"
23,260664,1,1,2022-02-18,"Introduction to Excel"
16,261212,1,2,2022-02-19,"Python Programmer Bootcamp"
7,263293,1,1,2022-02-18,"Introduction to Data and Data Science"
7,264076,1,2,2022-02-18,"Introduction to Data and Data Science"
23,263112,1,1,2022-02-19,"Introduction to Excel"
7,263363,1,1,2022-02-19,"Introduction to Data and Data Science"
23,261171,1,1,2022-02-19,"Introduction to Excel"
21,260684,0,1,2022-02-19,Statistics
14,263065,0,1,2022-02-19,SQL
22,261212,1,1,2022-02-19,Mathematics
42,261374,1,3,2022-07-04,"Data Strategy"
35,260345,1,1,2022-02-19,"Introduction to Python"
16,260998,1,2,2022-02-20,"Python Programmer Bootcamp"
20,260998,1,1,2022-02-20,"Introduction to Jupyter"
23,261785,1,2,2022-02-24,"Introduction to Excel"
35,261171,1,1,2022-02-20,"Introduction to Python"
23,261446,1,1,2022-02-20,"Introduction to Excel"
23,263120,1,1,2022-02-20,"Introduction to Excel"
7,264253,1,1,2022-02-20,"Introduction to Data and Data Science"
35,263888,1,1,2022-02-20,"Introduction to Python"
20,263786,1,1,2022-02-20,"Introduction to Jupyter"
22,263786,0,1,2022-02-21,Mathematics
35,263480,1,1,2022-02-21,"Introduction to Python"
13,263120,1,1,2022-02-21,"Data Analysis with Excel Pivot Tables"
24,263531,1,2,2022-02-21,Probability
15,261452,1,2,2022-02-21,"Credit Risk Modeling in Python"
30,263786,1,3,2022-02-26,"Git and GitHub"
20,259684,1,1,2022-02-21,"Introduction to Jupyter"
23,264076,1,2,2022-02-22,"Introduction to Excel"
7,264476,1,1,2022-02-22,"Introduction to Data and Data Science"
39,263120,1,1,2022-02-22,"Advanced Microsoft Excel"
20,264513,1,1,2022-02-22,"Introduction to Jupyter"
21,262641,1,1,2022-02-22,Statistics
42,260968,1,2,2022-02-23,"Data Strategy"
7,263545,1,1,2022-02-23,"Introduction to Data and Data Science"
7,262412,1,2,2022-02-23,"Introduction to Data and Data Science"
24,261802,1,2,2022-02-23,Probability
22,261802,1,2,2022-02-23,Mathematics
4,263786,1,1,2022-02-23,"Introduction to R Programming"
42,262643,1,2,2022-02-24,"Data Strategy"
46,263293,1,1,2022-02-23,"Data Literacy"
21,264076,1,2,2022-02-24,Statistics
2,263786,1,1,2022-02-24,"Introduction to Tableau"
21,263690,1,2,2022-02-25,Statistics
42,261979,1,2,2022-02-24,"Data Strategy"
21,262412,1,2,2022-02-25,Statistics
21,260850,1,2,2022-02-25,Statistics
7,264694,1,1,2022-02-25,"Introduction to Data and Data Science"
7,264290,1,1,2022-02-25,"Introduction to Data and Data Science"
24,260465,1,1,2022-02-25,Probability
7,264916,1,1,2022-02-25,"Introduction to Data and Data Science"
35,263786,1,1,2022-02-25,"Introduction to Python"
23,262792,1,1,2022-02-26,"Introduction to Excel"
22,260916,0,1,2022-02-26,Mathematics
11,263786,1,1,2022-02-26,"Data Cleaning and Preprocessing with pandas"
42,264694,1,1,2022-02-26,"Data Strategy"
7,263497,1,1,2022-02-26,"Introduction to Data and Data Science"
46,261019,1,2,2022-02-27,"Data Literacy"
46,265130,1,1,2022-02-26,"Data Literacy"
23,261685,1,1,2022-02-27,"Introduction to Excel"
22,264694,1,1,2022-02-27,Mathematics
13,261785,1,2,2022-02-27,"Data Analysis with Excel Pivot Tables"
7,264572,1,1,2022-02-27,"Introduction to Data and Data Science"
30,264699,1,1,2022-02-27,"Git and GitHub"
20,264694,1,1,2022-02-27,"Introduction to Jupyter"
24,264694,1,1,2022-02-27,Probability
21,261184,1,2,2022-02-28,Statistics
42,263942,0,1,2022-02-28,"Data Strategy"
30,264118,1,1,2022-02-28,"Git and GitHub"
21,264694,1,1,2022-02-28,Statistics
30,264694,1,1,2022-02-28,"Git and GitHub"
21,263120,1,1,2022-02-28,Statistics
14,261682,1,2,2022-02-28,SQL
7,264826,1,1,2022-02-28,"Introduction to Data and Data Science"
46,264826,1,2,2022-03-07,"Data Literacy"
35,264694,1,1,2022-02-28,"Introduction to Python"
7,265023,0,1,2022-03-01,"Introduction to Data and Data Science"
13,262792,1,1,2022-03-01,"Data Analysis with Excel Pivot Tables"
21,264916,1,1,2022-03-01,Statistics
7,264696,1,1,2022-03-01,"Introduction to Data and Data Science"
46,264694,1,1,2022-03-01,"Data Literacy"
24,262412,1,2,2022-03-01,Probability
22,263480,1,1,2022-03-01,Mathematics
16,261802,1,2,2022-03-01,"Python Programmer Bootcamp"
23,262643,1,1,2022-03-01,"Introduction to Excel"
22,264916,1,1,2022-03-01,Mathematics
14,260593,1,2,2022-03-02,SQL
3,261171,1,2,2022-03-02,"The Complete Data Visualization Course with Python, R, Tableau, and Excel"
32,265618,1,1,2022-03-02,"Deep Learning with TensorFlow 2"
22,265618,1,1,2022-03-02,Mathematics
16,261263,1,2,2022-03-08,"Python Programmer Bootcamp"
39,261785,1,2,2022-03-02,"Advanced Microsoft Excel"
21,265618,1,1,2022-03-02,Statistics
2,265618,1,1,2022-03-02,"Introduction to Tableau"
14,265618,1,1,2022-03-02,SQL
7,264146,1,1,2022-03-02,"Introduction to Data and Data Science"
24,265618,1,1,2022-03-02,Probability
23,264361,0,1,2022-03-02,"Introduction to Excel"
16,265618,1,1,2022-03-02,"Python Programmer Bootcamp"
37,265618,1,1,2022-03-02,"Machine Learning in Python"
5,265618,1,1,2022-03-02,"Data Preprocessing with NumPy"
35,261682,1,1,2022-03-02,"Introduction to Python"
14,264076,1,2,2022-03-03,SQL
23,263293,1,1,2022-03-03,"Introduction to Excel"
7,263000,1,2,2022-03-04,"Introduction to Data and Data Science"
21,260572,1,2,2022-03-04,Statistics
7,265462,1,1,2022-03-03,"Introduction to Data and Data Science"
7,261777,1,1,2022-03-03,"Introduction to Data and Data Science"
7,265578,1,1,2022-03-03,"Introduction to Data and Data Science"
35,264081,1,1,2022-03-03,"Introduction to Python"
23,263759,1,1,2022-03-03,"Introduction to Excel"
24,264916,1,1,2022-03-03,Probability
20,264916,1,1,2022-03-03,"Introduction to Jupyter"
35,261777,1,1,2022-03-03,"Introduction to Python"
23,262817,1,3,2022-03-08,"Introduction to Excel"
23,261819,1,2,2022-03-06,"Introduction to Excel"
7,263231,1,1,2022-03-03,"Introduction to Data and Data Science"
23,264694,1,1,2022-03-04,"Introduction to Excel"
21,263000,0,1,2022-03-04,Statistics
35,264076,1,1,2022-03-04,"Introduction to Python"
20,261777,1,1,2022-03-04,"Introduction to Jupyter"
42,265506,0,1,2022-03-04,"Data Strategy"
21,264514,1,1,2022-03-04,Statistics
14,261802,1,2,2022-03-04,SQL
42,262599,1,2,2022-03-04,"Data Strategy"
4,260998,1,2,2022-03-04,"Introduction to R Programming"
39,260345,1,1,2022-03-05,"Advanced Microsoft Excel"
24,262641,1,1,2022-03-05,Probability
13,262643,1,1,2022-03-05,"Data Analysis with Excel Pivot Tables"
7,265093,1,1,2022-03-05,"Introduction to Data and Data Science"
7,265928,1,1,2022-03-05,"Introduction to Data and Data Science"
7,263639,1,1,2022-03-05,"Introduction to Data and Data Science"
42,263639,1,2,2022-03-05,"Data Strategy"
46,263639,1,1,2022-03-05,"Data Literacy"
2,261263,1,2,2022-03-06,"Introduction to Tableau"
16,264694,1,1,2022-03-06,"Python Programmer Bootcamp"
16,263480,1,2,2022-03-06,"Python Programmer Bootcamp"
7,261349,1,2,2022-03-07,"Introduction to Data and Data Science"
37,264694,0,1,2022-03-06,"Machine Learning in Python"
23,263076,1,2,2022-03-06,"Introduction to Excel"
30,263480,1,2,2022-03-07,"Git and GitHub"
46,265878,1,1,2022-03-06,"Data Literacy"
3,260998,1,2,2022-03-06,"The Complete Data Visualization Course with Python, R, Tableau, and Excel"
42,264826,1,2,2022-03-12,"Data Strategy"
7,265686,1,1,2022-03-06,"Introduction to Data and Data Science"
7,265970,1,1,2022-03-07,"Introduction to Data and Data Science"
7,265967,1,1,2022-03-07,"Introduction to Data and Data Science"
7,263126,0,1,2022-03-07,"Introduction to Data and Data Science"
2,263480,1,2,2022-03-07,"Introduction to Tableau"
21,261785,1,2,2022-03-09,Statistics
13,261819,1,1,2022-03-07,"Data Analysis with Excel Pivot Tables"
7,260861,1,1,2022-03-07,"Introduction to Data and Data Science"
23,263639,1,1,2022-03-07,"Introduction to Excel"
7,261173,1,1,2022-03-07,"Introduction to Data and Data Science"
20,262641,1,1,2022-03-07,"Introduction to Jupyter"
23,265928,1,1,2022-03-08,"Introduction to Excel"
21,260345,1,1,2022-03-08,Statistics
23,265578,1,1,2022-03-08,"Introduction to Excel"
42,266259,1,3,2022-03-08,"Data Strategy"
37,261802,1,2,2022-03-08,"Machine Learning in Python"
2,264361,0,1,2022-03-08,"Introduction to Tableau"
14,264361,1,2,2022-03-08,SQL
7,261417,1,1,2022-03-08,"Introduction to Data and Data Science"
13,263639,1,1,2022-03-08,"Data Analysis with Excel Pivot Tables"
39,263639,1,2,2022-03-08,"Advanced Microsoft Excel"
7,264761,1,1,2022-03-08,"Introduction to Data and Data Science"
24,261905,1,2,2022-03-09,Probability
14,260173,1,1,2022-03-09,SQL
21,259767,1,3,2022-03-10,Statistics
14,262596,1,2,2022-03-13,SQL
3,264076,1,2,2022-03-09,"The Complete Data Visualization Course with Python, R, Tableau, and Excel"
21,265966,1,2,2022-03-09,Statistics
22,262641,1,1,2022-03-09,Mathematics
42,259429,1,2,2022-03-09,"Data Strategy"
23,264253,1,1,2022-03-09,"Introduction to Excel"
7,265302,1,1,2022-03-09,"Introduction to Data and Data Science"
2,261756,1,1,2022-03-09,"Introduction to Tableau"
7,263786,1,1,2022-03-09,"Introduction to Data and Data Science"
24,263690,1,2,2022-03-09,Probability
24,265966,1,2,2022-03-10,Probability
7,265966,1,2,2022-03-22,"Introduction to Data and Data Science"
4,262580,1,1,2022-03-10,"Introduction to R Programming"
32,261802,1,2,2022-03-10,"Deep Learning with TensorFlow 2"
7,264049,1,1,2022-03-10,"Introduction to Data and Data Science"
42,265813,1,1,2022-03-11,"Data Strategy"
7,266549,1,1,2022-03-11,"Introduction to Data and Data Science"
7,260813,1,1,2022-03-11,"Introduction to Data and Data Science"
16,264916,1,1,2022-03-11,"Python Programmer Bootcamp"
23,264400,1,1,2022-03-11,"Introduction to Excel"
42,264146,1,2,2022-03-12,"Data Strategy"
7,266614,1,1,2022-03-12,"Introduction to Data and Data Science"
23,264826,1,2,2022-03-14,"Introduction to Excel"
14,264572,1,1,2022-03-12,SQL
7,262641,1,1,2022-03-12,"Introduction to Data and Data Science"
7,266693,1,1,2022-03-12,"Introduction to Data and Data Science"
24,263639,1,3,2022-03-13,Probability
20,263639,1,2,2022-03-12,"Introduction to Jupyter"
11,264916,1,1,2022-03-12,"Data Cleaning and Preprocessing with pandas"
20,265110,1,1,2022-03-12,"Introduction to Jupyter"
7,266489,1,1,2022-03-12,"Introduction to Data and Data Science"
37,259258,1,1,2022-03-13,"Machine Learning in Python"
14,261801,1,2,2022-03-13,SQL
42,266766,1,2,2022-03-13,"Data Strategy"
42,266529,1,1,2022-03-13,"Data Strategy"
42,259494,1,1,2022-03-13,"Data Strategy"
16,264514,1,2,2022-03-19,"Python Programmer Bootcamp"
35,260024,1,1,2022-03-13,"Introduction to Python"
5,260998,1,2,2022-03-13,"Data Preprocessing with NumPy"
42,265878,1,2,2022-03-14,"Data Strategy"
22,260998,1,2,2022-03-13,Mathematics
7,267010,1,2,2022-03-14,"Introduction to Data and Data Science"
21,263639,1,2,2022-03-13,Statistics
7,263859,1,1,2022-03-14,"Introduction to Data and Data Science"
16,263531,1,1,2022-03-14,"Python Programmer Bootcamp"
28,263480,1,1,2022-03-14,"Power BI"
22,263531,1,2,2022-03-14,Mathematics
24,261785,1,2,2022-03-15,Probability
23,264761,1,1,2022-03-14,"Introduction to Excel"
21,261819,1,2,2022-03-15,Statistics
46,263786,1,2,2022-03-14,"Data Literacy"
3,264361,1,2,2022-03-14,"The Complete Data Visualization Course with Python, R, Tableau, and Excel"
25,264761,1,1,2022-03-14,"Starting a Career in Data Science: Project Portfolio, Resume, and Interview Process"
5,264076,1,2,2022-03-15,"Data Preprocessing with NumPy"
14,260649,1,1,2022-03-15,SQL
7,266001,1,1,2022-03-15,"Introduction to Data and Data Science"
46,266001,1,3,2022-03-17,"Data Literacy"
46,266766,1,1,2022-03-15,"Data Literacy"
7,265572,1,2,2022-03-17,"Introduction to Data and Data Science"
21,263759,1,1,2022-03-15,Statistics
7,265653,1,2,2022-03-16,"Introduction to Data and Data Science"
16,263690,1,1,2022-03-15,"Python Programmer Bootcamp"
22,263690,1,1,2022-03-16,Mathematics
23,266316,1,1,2022-03-16,"Introduction to Excel"
11,264076,1,1,2022-03-16,"Data Cleaning and Preprocessing with pandas"
13,266316,1,1,2022-03-16,"Data Analysis with Excel Pivot Tables"
7,263529,1,1,2022-03-16,"Introduction to Data and Data Science"
7,266316,1,2,2022-03-16,"Introduction to Data and Data Science"
22,261785,1,2,2022-03-16,Mathematics
39,262792,0,1,2022-03-16,"Advanced Microsoft Excel"
35,263859,1,1,2022-03-16,"Introduction to Python"
2,262585,1,1,2022-03-16,"Introduction to Tableau"
20,264076,1,1,2022-03-16,"Introduction to Jupyter"
30,264076,1,1,2022-03-16,"Git and GitHub"
3,263639,1,2,2022-03-16,"The Complete Data Visualization Course with Python, R, Tableau, and Excel"
42,265250,1,2,2022-03-17,"Data Strategy"
2,263639,1,2,2022-03-16,"Introduction to Tableau"
46,261349,1,1,2022-03-16,"Data Literacy"
21,265928,1,1,2022-03-17,Statistics
22,261777,1,1,2022-03-17,Mathematics
20,267064,1,2,2022-03-18,"Introduction to Jupyter"
23,261184,1,2,2022-03-17,"Introduction to Excel"
7,267114,1,1,2022-03-17,"Introduction to Data and Data Science"
24,260572,1,2,2022-03-18,Probability
13,265928,1,1,2022-03-17,"Data Analysis with Excel Pivot Tables"
20,266512,1,1,2022-03-17,"Introduction to Jupyter"
21,264761,1,1,2022-03-17,Statistics
2,259524,0,1,2022-03-17,"Introduction to Tableau"
23,259011,1,1,2022-03-17,"Introduction to Excel"
21,263293,1,1,2022-03-17,Statistics
21,266614,1,2,2022-03-18,Statistics
7,263661,1,1,2022-03-17,"Introduction to Data and Data Science"
16,261777,1,1,2022-03-18,"Python Programmer Bootcamp"
22,265928,1,1,2022-03-18,Mathematics
39,262643,1,1,2022-03-18,"Advanced Microsoft Excel"
7,267778,1,2,2022-03-19,"Introduction to Data and Data Science"
39,266316,1,2,2022-03-19,"Advanced Microsoft Excel"
42,265572,1,2,2022-03-18,"Data Strategy"
7,266901,1,1,2022-03-18,"Introduction to Data and Data Science"
35,265110,0,1,2022-03-19,"Introduction to Python"
22,264514,1,1,2022-03-19,Mathematics
7,260855,1,1,2022-03-19,"Introduction to Data and Data Science"
23,259106,1,2,2022-03-19,"Introduction to Excel"
35,264761,1,1,2022-03-19,"Introduction to Python"
7,267916,1,1,2022-03-19,"Introduction to Data and Data Science"
42,266001,1,2,2022-03-20,"Data Strategy"
50,264916,1,2,2022-03-20,"Machine Learning with Naive Bayes"
7,264687,1,1,2022-03-20,"Introduction to Data and Data Science"
14,261171,1,1,2022-03-20,SQL
35,267064,1,1,2022-03-20,"Introduction to Python"
14,261756,1,1,2022-03-20,SQL
23,261019,1,2,2022-03-27,"Introduction to Excel"
11,264514,1,1,2022-03-20,"Data Cleaning and Preprocessing with pandas"
23,262569,1,2,2022-03-22,"Introduction to Excel"
22,266332,1,2,2022-06-16,Mathematics
11,260998,1,2,2022-03-21,"Data Cleaning and Preprocessing with pandas"
21,264623,1,2,2022-03-22,Statistics
7,261680,1,1,2022-03-20,"Introduction to Data and Data Science"
16,260572,1,1,2022-03-21,"Python Programmer Bootcamp"
7,264623,1,1,2022-03-21,"Introduction to Data and Data Science"
7,260572,1,1,2022-03-21,"Introduction to Data and Data Science"
22,260572,1,2,2022-03-23,Mathematics
46,264146,1,2,2022-03-21,"Data Literacy"
42,261714,0,1,2022-03-21,"Data Strategy"
7,267515,1,1,2022-03-21,"Introduction to Data and Data Science"
