source,target,total_engagement_watch_minutes
279036,2,2.03
277557,2,41.2
262643,2,94.86
269518,2,65.77
278662,2,34.98
279362,2,0.43
279392,2,0.72
272058,2,292.5
278940,2,17.03
279519,2,3.72
275050,2,129.57
274814,2,153.45
270075,2,145.37
279926,2,42.1
279937,2,0.55
280114,2,134.35
280197,2,1.72
280198,2,0.83
280358,2,15.37
278641,2,4.43
280867,2,0.3
280851,2,38.63
279862,2,23.68
274906,2,134.91
263913,2,6.72
280939,2,2.08
280963,2,18.7
280993,2,0.48
272991,2,123.78
262459,2,129.47
281114,2,13.18
280134,2,69.37
269421,2,5.6
275470,2,90.71
281297,2,0.53
281438,2,1.43
270738,2,68.29
281713,2,0.65
281813,2,0.53
281759,2,16.58
281860,2,8.2
281819,2,0.2
281913,2,45.77
281947,2,47.8
282042,2,1.52
275495,2,9.32
266814,2,42.77
281961,2,47.7
262761,2,8.62
276994,2,29.18
278753,2,104.7
274908,2,10.48
282533,2,9.02
280218,2,78.97
280427,2,0.18
280249,2,169.35
279422,2,10.8
263656,2,23.72
274050,2,151.87
274996,2,153.1
282961,2,0.9
261019,2,253.07
274000,2,26.12
283149,2,25.9
277012,2,82.5
283243,2,0.07
266512,2,4.87
282838,2,216.52
282794,2,6.42
282028,2,0.05
283520,2,5.77
283550,2,4.73
279409,2,78.5
280548,2,37.61
273671,2,108.1
283813,2,2.07
283851,2,23.6
283086,2,0.5
283915,2,0.6
283612,2,27.3
283940,2,5.73
283005,2,60.47
283239,2,5.65
274552,2,19.02
265056,2,28.23
283452,2,1.53
274861,2,149.73
284305,2,0.12
272977,2,121.4
281107,2,38.29
284522,2,0.55
284605,2,0.07
275126,2,144.7
282371,2,6.38
282977,2,101.87
284951,2,1.33
264097,2,0.5
285167,2,2.2
285213,2,0.05
285272,2,0.52
274209,2,29.3
285303,2,3.35
285233,2,23.75
285325,2,6.9
259174,2,142.4
284400,2,2.19
277562,2,14.02
285512,2,5.42
285537,2,157.07
285427,2,0.67
280685,2,94.17
285623,2,10.4
285743,2,0.45
274098,2,0.2
278463,2,6.47
275834,2,38.68
285929,2,0.07
263441,2,79.3
285667,2,0.8
266454,2,6
273096,2,19
286069,2,0.93
286113,2,96.14
284990,2,0.13
283166,2,4.97
285392,2,31.05
268485,2,31.52
281084,2,66.52
286272,2,0.72
277886,2,0.07
286194,2,0.08
286466,2,38.62
285288,2,0.3
286007,2,14.02
286590,2,0.55
286399,2,0.05
266532,2,2.27
286712,2,0.72
283855,2,30.05
286545,2,0.13
286396,2,4.67
286849,2,80.13
286608,2,87.33
286405,2,26.15
286883,2,86.75
286876,2,31.72
277306,2,0.5
286699,2,1.5
286922,2,0.05
284001,2,32.02
286458,2,0.55
284880,2,0.27
284790,2,108.79
271648,2,4.22
286973,2,156.66
286755,2,0.05
286271,2,37.17
287009,2,13.38
285989,2,72.38
287061,2,1.68
282803,2,41.95
265415,2,31.63
286928,2,26.35
285670,2,0.28
284371,2,48.51
286884,2,0.87
281609,2,20.65
284288,2,35.93
287315,2,11.88
287441,2,3.18
287458,2,0.63
287463,2,26.37
287113,2,18.7
284438,2,197.71
267064,2,139.55
287506,2,2.98
287637,2,6.03
279722,2,10.45
261714,2,115.13
275045,2,101.38
287805,2,14.27
285397,2,100.38
286824,2,29.73
287929,2,6.13
260971,2,4.62
268883,2,57.27
288148,2,1.52
284743,2,0.23
275158,2,0.63
282594,2,1.22
288294,2,0.95
288378,2,0.48
288425,2,0.22
271154,2,109.1
288637,2,0.33
288797,2,26.53
288505,2,70.65
280613,2,105.07
263309,2,37.85
289187,2,0.55
287718,2,41.7
289019,2,217.01
261682,2,1.1
289436,2,36.97
288140,2,12.98
289270,2,108.13
289620,2,1.48
289538,2,35.82
289653,2,1.43
289689,2,30.23
287721,2,7.07
289892,2,6.12
289919,2,4.97
289927,2,17.73
289993,2,0.05
276439,2,145.97
290142,2,0.7
288865,2,0.72
282591,2,0.15
269041,2,1.22
290262,2,14.62
277395,2,2.85
289015,2,0.05
263783,2,58.02
287306,2,0.2
278642,2,123.88
263825,2,111.73
290654,2,0.42
290659,2,0.35
271745,2,0.08
290761,2,8.55
290771,2,28.7
290746,2,6.04
290862,2,9.25
290875,2,1.35
277322,2,86.52
289433,2,0.18
291476,2,14.48
277609,2,133.02
271185,2,84.9
286199,2,4.97
282954,2,119.55
291619,2,7.33
290226,2,164.88
279741,2,47.15
262634,2,25.9
288071,2,53.67
291842,2,6.65
279482,2,216.03
290719,2,0.23
285352,2,142.33
291995,2,3.35
291996,2,0.1
292034,2,4
271465,2,0.17
291744,2,0.43
262112,2,82.68
283510,2,160.94
276784,2,12.88
291789,2,40.05
292402,2,0.82
292407,2,0.25
280827,2,86
292501,2,0.55
292627,2,113.95
280148,2,3.45
260754,2,88.67
269526,2,0.1
292706,2,48.52
292761,2,0.62
284241,2,51.08
292827,2,23.05
278461,2,7.57
292967,2,74.5
291960,2,35.65
280994,2,1.72
293241,2,0.52
292561,2,48.49
280121,2,167.99
293216,2,0.1
283351,2,0.05
293580,2,42.8
293024,2,0.45
293583,2,38.53
293633,2,0.1
293690,2,1.1
288284,2,149.95
293064,2,3.42
291412,2,43.29
261820,2,90.91
293961,2,0.08
292720,2,0.05
280545,2,161.67
291637,2,30.88
290487,2,28.92
294344,2,45.83
292966,2,8.77
293639,2,53.09
294550,2,106.45
294555,2,1.65
294567,2,10.18
294579,2,3.18
294575,2,69.3
287739,2,102.94
294681,2,5.77
294670,2,0.12
264346,2,1.22
294803,2,0.68
283782,2,9.32
282601,2,94.95
287079,2,1.42
294981,2,7.18
295012,2,27.3
266001,2,0.17
291899,2,44.52
293713,2,83.02
295204,2,0.2
295114,2,46.98
288016,2,24.07
291425,2,131.89
261721,2,35.73
295496,2,39.17
295528,2,0.1
295534,2,37.42
295513,2,36.52
277403,2,123.27
295619,2,0.55
291561,2,53
295656,2,32.97
291166,2,40.52
290152,2,0.4
295737,2,0.5
291462,2,91.31
288345,2,2.65
289765,2,0.08
292574,2,134.85
295949,2,7.8
260980,2,91
295586,2,2.48
282032,2,9.9
295452,2,31.1
268287,2,6.2
286826,2,102.42
282529,2,0.55
266191,2,0.08
294921,2,0.55
296280,2,0.1
296227,2,0.05
296309,2,0.93
296530,2,0.25
296576,2,4.22
295795,2,7.12
287868,2,0.13
296621,2,0.23
275461,2,8.87
275505,2,40.98
296768,2,0.38
296942,2,10.23
294948,2,1.02
296967,2,4.97
279735,2,8.82
265370,2,0.05
297017,2,40.93
258863,3,5.52
258973,3,16.75
259077,3,3.52
259114,3,1.95
259799,3,4.38
258904,3,65.52
260035,3,0.05
260084,3,5.65
260076,3,48.3
260402,3,26.22
260477,3,0.68
260634,3,43.7
260646,3,148.92
260702,3,0.28
260788,3,0.78
260921,3,10.3
260888,3,5.17
261070,3,0.58
261136,3,2.75
258924,3,64.5
261319,3,1.4
261509,3,0.48
261599,3,15.6
261604,3,0.47
261286,3,0.68
261631,3,112.91
258845,3,535.38
261554,3,1.73
261121,3,0.57
261776,3,0.25
261918,3,1.08
262061,3,4.52
262134,3,0.07
262128,3,0.07
262241,3,1
262337,3,21.12
262522,3,0.08
259198,3,26.47
262689,3,0.42
262691,3,0.53
262674,3,4.43
262908,3,0.22
262304,3,0.4
261242,3,0.05
260977,3,105.93
263244,3,143.78
262819,3,4.2
263299,3,0.53
262675,3,3.28
263479,3,0.27
263086,3,0.38
260356,3,0.65
263704,3,1.77
263727,3,0.77
261487,3,104.69
263801,3,2.58
263370,3,0.33
259860,3,425.27
264024,3,50.48
262580,3,142.08
264090,3,0.17
264266,3,0.22
262470,3,51.26
264300,3,9.43
261171,3,522.69
264423,3,0.25
264526,3,0.32
264531,3,2.63
264580,3,0.6
264634,3,0.3
262246,3,2.23
263768,3,26.85
261802,3,488.23
264590,3,0.13
265037,3,56.86
265133,3,4.03
264699,3,0.28
263786,3,200.69
265452,3,20.96
265259,3,4.45
261682,3,1102.39
265328,3,7.22
264055,3,13.02
262634,3,0.43
264425,3,10.93
264076,3,497.84
265878,3,135.75
265937,3,0.28
260998,3,63.13
266055,3,4.7
264522,3,0.35
266151,3,2.87
259657,3,62.87
261756,3,423.8
260345,3,498.39
266495,3,0.05
264623,3,1.21
266386,3,1.73
266680,3,596.69
266678,3,5.35
266658,3,16.35
266722,3,0.05
264361,3,576.46
266862,3,17.23
266986,3,0.17
266482,3,3.93
267224,3,0.18
261466,3,10.88
267331,3,0.12
263639,3,37.4
266318,3,0.07
267709,3,5.05
266901,3,2.43
267889,3,0.1
264761,3,233.5
268049,3,4.83
267141,3,4.7
261766,3,25.75
268313,3,0.85
268390,3,66.35
260173,3,632.74
268412,3,128.47
268426,3,5.88
261668,3,108.52
264826,3,419.66
268577,3,2.5
266843,3,0.48
267613,3,27.94
262377,3,25.57
261777,3,9.15
268832,3,0.53
268917,3,11.78
261753,3,0.38
261158,3,100.39
269202,3,3.85
268992,3,11.63
268960,3,1.45
269260,3,34.47
262578,3,22.52
269378,3,0.38
268811,3,122
269729,3,4.07
269741,3,575.47
269876,3,18.2
269879,3,0.38
263859,3,117.62
269843,3,9.78
269895,3,0.53
265003,3,142.28
270072,3,17.13
270202,3,13.68
270335,3,0.22
268529,3,157.19
268374,3,0.2
270676,3,1.48
269485,3,4.38
262406,3,2.03
270710,3,277.98
270018,3,0.76
270834,3,5.25
267898,3,3.07
270750,3,1.92
263309,3,5.5
270486,3,43.07
271254,3,2.15
261716,3,0.82
270434,3,1.52
268796,3,136.13
259011,3,4.17
271481,3,0.48
271521,3,0.27
271568,3,119.6
266112,3,539.08
263293,3,520.11
271698,3,116.92
271745,3,61.6
271770,3,1.5
271761,3,6.02
260334,3,0.63
271920,3,0.13
265310,3,205.06
262487,3,0.07
271896,3,0.63
269040,3,92.6
266731,3,35.77
272200,3,0.2
272211,3,0.77
272195,3,0.22
270967,3,4.7
272349,3,2.5
269776,3,6.15
268444,3,136.63
272330,3,114.34
272513,3,0.35
272567,3,2.77
272596,3,0.17
261801,3,441.61
272712,3,4.63
272727,3,102.7
272822,3,4.12
273022,3,1.88
262585,3,4.85
273157,3,5.67
265967,3,238.27
273034,3,113.53
273336,3,2.23
258818,3,105.37
273386,3,1.88
268990,3,7.37
272059,3,10.4
272035,3,3.72
273724,3,17.28
269064,3,0.75
273371,3,4.25
270009,3,0.12
273930,3,1.2
273800,3,41.4
273953,3,1.18
274001,3,0.1
271701,3,0.22
268800,3,0.22
273464,3,11.15
272199,3,0.18
273423,3,460.38
273668,3,3.32
266725,3,0.08
268825,3,130.92
273955,3,0.82
274422,3,6.08
274541,3,18.98
266766,3,355.06
274655,3,0.58
274032,3,0.7
274304,3,12.93
274748,3,0.05
274894,3,0.63
274837,3,0.42
263950,3,4.25
270475,3,0.22
275024,3,5.43
269099,3,0.4
263494,3,5.03
275208,3,1.69
270931,3,261.52
275263,3,0.47
275279,3,0.45
275504,3,3.15
275508,3,0.72
266788,3,93.59
271114,3,1.33
275158,3,2.17
272796,3,0.47
272586,3,25.38
275898,3,0.12
276159,3,10.07
276231,3,0.16
274377,3,36.51
268011,3,436.2
276202,3,0.25
272842,3,504.55
276845,3,0.15
269898,3,104.86
275438,3,0.13
276919,3,0.48
276949,3,0.17
276355,3,0.17
277141,3,0.98
277225,3,0.05
277228,3,88.32
259767,3,366.65
267812,3,0.92
277398,3,4.23
272965,3,556.54
268558,3,113.25
277465,3,0.28
266308,3,1.38
262643,3,109.54
277589,3,6.78
266447,3,3.67
274050,3,0.68
274624,3,2.03
277877,3,0.55
277805,3,7.87
277983,3,44.96
277037,3,4.85
273126,3,4.97
278126,3,4.83
261737,3,499.99
278381,3,0.1
278431,3,6.97
278696,3,0.2
270460,3,518.3
278771,3,0.2
278772,3,1.02
278844,3,1.7
268357,3,173.3
277557,3,314.43
276490,3,93.03
277728,3,25.92
263579,3,5.07
279366,3,0.07
279419,3,13.45
275594,3,2.8
262414,3,40.91
276788,3,7.99
279998,3,2.85
279881,3,43.92
275566,3,14.17
263759,3,486
271273,3,10.39
280738,3,3.72
280762,3,0.77
274906,3,564.62
276562,3,37.3
277673,3,10.02
271950,3,274.42
277066,3,4.64
276938,3,39.94
274039,3,486.33
281063,3,2.45
262459,3,47.98
266811,3,3.05
280512,3,2.32
278280,3,0.38
281522,3,24
281297,3,14.7
281294,3,17.15
269054,3,90.15
282077,3,7.6
280973,3,0.27
261393,3,1.17
280062,3,0.05
277084,3,627.06
270369,3,0.33
280689,3,1.13
278115,3,96.17
282249,3,3.95
279738,3,603.5
266814,3,41.12
282348,3,0.2
281787,3,386
280772,3,104.88
269314,3,723.6
281586,3,7.15
282468,3,0.33
282088,3,336.15
282669,3,2.32
282807,3,34.13
268090,3,0.22
277510,3,4.63
278788,3,7.4
275624,3,0.12
274498,3,0.05
275449,3,496.73
259174,3,816.81
281753,3,411.52
283168,3,0.27
279886,3,4.22
281796,3,23.2
265130,3,83.23
283559,3,0.47
274070,3,314.65
283720,3,4.62
278228,3,27.68
283897,3,0.15
283452,3,2.03
284012,3,1.93
265056,3,0.08
275045,3,476.91
284248,3,1.18
284292,3,0.17
261647,3,14.13
284402,3,9.55
284437,3,0.08
277012,3,105.85
284616,3,1.18
284674,3,1.65
284561,3,0.38
277879,3,104.73
284930,3,4.6
283623,3,0.92
284907,3,109.28
282803,3,265.68
285288,3,2.69
285375,3,0.07
259350,3,332.17
282591,3,5.23
279874,3,43.9
284482,3,430.55
285397,3,65.85
277153,3,22.75
283239,3,0.12
285081,3,0.92
285639,3,151.87
285203,3,192.95
271181,3,0.27
282159,3,81.13
285902,3,549.79
284081,3,0.35
266738,3,169.83
280948,3,71.53
284001,3,32.83
276296,3,41.35
286128,3,1.4
284990,3,0.63
261790,3,1.57
286249,3,296.82
282296,3,103.12
286296,3,7.98
286321,3,4.2
263354,3,0.28
277306,3,27.5
286051,3,0.3
285528,3,0.5
263747,3,38.08
286559,3,2.78
286597,3,0.3
285731,3,0.05
277534,3,4.85
266532,3,6.9
285963,3,31.97
286202,3,0.58
285532,3,7.3
286545,3,0.1
286778,3,0.42
283131,3,105.9
286396,3,6.73
286475,3,140.26
284790,3,167.32
282849,3,509.72
285497,3,11.07
276824,3,13.45
283730,3,162.6
285922,3,57.18
286906,3,0.5
284923,3,37.45
286062,3,10.43
264369,3,1.25
286428,3,0.28
286440,3,477.48
286932,3,6.03
285462,3,0.05
276196,3,0.2
275741,3,37.35
280685,3,145.23
285942,3,0.6
274626,3,86.18
286271,3,72.52
286006,3,0.17
285583,3,41.27
285413,3,0.05
274747,3,0.15
285670,3,0.92
287180,3,23.23
268681,3,35.42
287363,3,14.03
282977,3,134.69
260813,3,1.9
287884,3,0.47
287945,3,0.18
272991,3,12.67
288072,3,1.72
288142,3,1.47
269204,3,355.78
282594,3,0.58
286563,3,1.39
288451,3,0.22
288495,3,5.28
282542,3,111.82
288508,3,2.45
282430,3,0.18
285411,3,600.49
288315,3,165.52
289235,3,10.42
282586,3,72.45
287919,3,1.82
289263,3,5.12
289415,3,0.43
284067,3,20.63
274781,3,527.67
289270,3,225.23
282273,3,496.33
273936,3,1.91
277562,3,0.28
262569,3,669.55
284566,3,4.57
290424,3,2.23
290453,3,42.78
276439,3,613.5
281671,3,50.52
272887,3,4.62
284438,3,569.83
266187,3,128.07
291084,3,0.83
285406,3,290.79
291108,3,0.05
287413,3,0.97
291316,3,0.05
291365,3,3.4
261819,3,562.21
289005,3,0.13
280048,3,0.32
290496,3,246.75
282218,3,6.02
291528,3,0.42
291677,3,0.08
290206,3,50.95
288875,3,0.77
261519,3,3.1
279482,3,807.77
269570,3,66.36
291914,3,0.8
282929,3,0.42
283426,3,1.25
291973,3,1.72
289083,3,0.72
292046,3,0.1
274893,3,0.05
288140,3,0.08
292428,3,0.05
265337,3,78.29
292394,3,18.12
275276,3,462.34
292492,3,2.63
292712,3,0.08
291626,3,0.23
292783,3,0.25
291622,3,0.98
292948,3,1.27
278764,3,80.68
269526,3,0.33
293029,3,0.97
264146,3,510.2
277953,3,0.1
291744,3,97.9
293064,3,17.45
293583,3,75.02
293679,3,1.1
263480,3,0.13
284954,3,189.42
286199,3,12.05
280121,3,690.05
293894,3,10.35
281993,3,48.57
294646,3,4.58
266001,3,51.48
294715,3,0.05
295113,3,0.52
293083,3,456.19
295167,3,0.88
295177,3,40.18
271519,3,97.4
295310,3,0.4
295311,3,3.3
291576,3,1.08
292057,3,0.73
261721,3,69.37
295474,3,17.95
295527,3,0.78
295528,3,1.73
286826,3,66.22
295692,3,0.23
261674,3,0.72
295949,3,0.68
292151,3,532.76
282032,3,16.53
274825,3,101.34
283406,3,7.43
295262,3,6.55
277864,3,0.07
296215,3,112.35
296280,3,0.08
296335,3,4.92
272510,3,0.05
269110,3,167.39
296386,3,41.95
296423,3,0.78
263825,3,173.07
296327,3,0.38
295829,3,0.08
284241,3,0.18
291425,3,146.56
296451,3,1.55
295890,3,0.28
291789,3,253.12
271400,3,4.33
292572,3,16.52
280548,3,3.47
293713,3,12.87
296864,3,1.03
260910,3,48.62
296900,3,0.93
296904,3,0.1
296033,3,21.23
296926,3,1.28
294189,3,0.27
296933,3,3.27
274552,3,44.57
288269,3,31.32
294948,3,0.07
295973,3,2.83
258973,4,2.43
258994,4,95.1
259246,4,4.42
259110,4,17.43
259478,4,1.13
260321,4,346.98
260982,4,0.78
260702,4,1.02
260494,4,93.16
261299,4,11.28
260604,4,0.25
261437,4,65.85
261517,4,57.11
261610,4,238.68
261646,4,1.53
261786,4,18.72
261615,4,0.25
261870,4,4.93
261269,4,0.77
262106,4,0.07
262186,4,0.38
260952,4,9.38
262534,4,4.95
262580,4,442.81
262609,4,0.05
258845,4,32.3
261359,4,495.65
262693,4,4.55
259865,4,7.02
262738,4,0.23
261681,4,0.12
259859,4,55.58
261171,4,423.18
263354,4,1.42
262459,4,151.86
263699,4,3.67
263086,4,0.4
263896,4,6.78
263943,4,78.3
264015,4,0.15
263978,4,5.48
264024,4,99.11
260998,4,312.2
262470,4,23.28
264841,4,53.79
265086,4,0.85
265133,4,3.08
259657,4,315.1
265333,4,69
263889,4,7.22
264694,4,254.62
265259,4,5.02
265644,4,16.45
265328,4,54.13
264699,4,1.12
265784,4,0.73
260935,4,0.05
264439,4,34.27
266308,4,27.42
266462,4,186.06
266687,4,9.98
266853,4,0.92
258818,4,223.27
267301,4,3.75
267775,4,45.12
261777,4,365.7
263648,4,6.84
267898,4,3.33
264623,4,0.7
268317,4,16.7
268489,4,1.8
268499,4,5.08
268649,4,0.18
262821,4,360.86
268895,4,17.83
268993,4,1.8
268811,4,1.99
269260,4,6.45
269512,4,4.92
269559,4,34.53
265362,4,33.93
261778,4,329.92
269373,4,3.27
266112,4,419.72
261510,4,33.13
270418,4,0.23
266099,4,26.97
270641,4,55.46
268989,4,372.82
270911,4,0.55
269769,4,3.45
271217,4,4.92
271475,4,39.03
259011,4,4.97
271684,4,0.82
271745,4,18.62
272596,4,4.88
272644,4,5.93
271101,4,63.67
272261,4,411.01
272729,4,18.3
272464,4,0.15
272282,4,74.62
272886,4,0.05
272887,4,67.12
273168,4,3.15
273185,4,50.87
265789,4,35.87
273298,4,2.93
273482,4,28.81
271701,4,0.08
268805,4,221.34
272199,4,0.62
273668,4,3.24
274309,4,5.32
270599,4,299.82
274685,4,0.33
274422,4,1.02
274867,4,1.3
274961,4,12.05
275080,4,2.42
263494,4,2.93
275213,4,10.12
269646,4,6.02
275035,4,11.77
275362,4,140.06
264295,4,516.29
276202,4,0.45
276537,4,0.32
276659,4,55.22
276785,4,0.32
276820,4,0.65
276708,4,198.96
276670,4,6.94
274276,4,25.15
274050,4,406.44
277225,4,0.05
274498,4,18.4
277319,4,2.68
263076,4,261.37
264476,4,310.79
266512,4,590.47
277968,4,5.2
278050,4,0.2
278898,4,5.42
262643,4,370.77
262414,4,65.75
261590,4,26.2
278933,4,8.82
280312,4,0.32
273580,4,52.45
280604,4,0.22
281163,4,1.52
280324,4,0.65
270988,4,57.54
281388,4,62.13
281297,4,0.2
280134,4,76.67
280689,4,1.48
272068,4,0.55
281022,4,0.12
275129,4,288.27
280207,4,301.27
282601,4,82.17
282761,4,2.48
282978,4,0.72
273936,4,60.46
275490,4,26.63
267916,4,344.65
284063,4,20.87
284222,4,0.75
283452,4,3.25
283809,4,0.25
284342,4,0.12
284411,4,9.03
284576,4,0.98
273599,4,0.25
279779,4,0.2
283239,4,0.08
282183,4,376.46
265370,4,4
285963,4,30.73
268485,4,14.2
286269,4,0.27
286292,4,24.35
286355,4,15.93
285081,4,249.07
286381,4,0.2
276220,4,152.9
286102,4,0.3
278304,4,1.95
286559,4,1.1
286545,4,0.5
285731,4,0.05
277197,4,21.92
285815,4,67.03
286717,4,235.6
283886,4,1.4
280685,4,276.57
281084,4,0.07
286475,4,0.15
284880,4,1.27
285670,4,0.9
286824,4,13.02
283149,4,34.55
272838,4,146.38
274781,4,20.24
287676,4,47.11
274996,4,161.8
285288,4,0.27
282594,4,0.07
267114,4,26.83
278177,4,146.06
272510,4,541.2
288514,4,53.48
288722,4,0.05
288751,4,21.43
288749,4,6.62
273704,4,0.17
286607,4,2.28
281294,4,23.4
269975,4,64.9
289303,4,1.35
261393,4,33.31
260910,4,139.38
284531,4,0.17
259870,4,233.32
269959,4,77.4
277084,4,481.28
289047,4,0.12
290052,4,0.32
282591,4,9.07
280218,4,3.08
282687,4,10.8
282529,4,21.25
277864,4,0.33
290659,4,0.08
288791,4,0.53
264146,4,449.04
289285,4,69.12
287565,4,119.42
289083,4,29.91
292006,4,0.57
274861,4,1766.95
269068,4,50.48
291789,4,56.2
292394,4,51.57
292509,4,0.87
292590,4,0.37
269526,4,4.68
292921,4,1.42
293052,4,0.47
293204,4,9.91
293241,4,16.6
282638,4,5.1
293662,4,0.17
293602,4,34.92
292953,4,1.27
293716,4,0.07
293282,4,50.62
294007,4,0.23
294019,4,9.53
289609,4,55.81
293324,4,186.8
293630,4,0.08
265519,4,171.87
292499,4,5.58
292815,4,9.4
282954,4,0.05
295009,4,0.08
285397,4,70.24
291899,4,27.75
295177,4,75.45
274572,4,32.92
295114,4,58.5
293564,4,261.71
295250,4,4.47
295397,4,150.92
295256,4,126.92
292139,4,11.93
295528,4,0.1
295536,4,0.48
295546,4,0.25
295582,4,34.05
295646,4,74.2
295647,4,80.9
295710,4,0.13
295719,4,0.07
295817,4,57.86
289232,4,39.48
293639,4,41.47
275754,4,28.55
291214,4,0.22
272906,4,0.55
296280,4,0.08
295890,4,1.23
285011,4,7.52
292572,4,179.85
296892,4,4.62
291425,4,38.8
259077,5,3.23
259350,5,0.23
259634,5,37.01
